Area,Population 18 to 24 years,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher,Population 25 years and over,Less than 9th grade,"9th to 12th grade, no diploma",High school graduate (includes equivalency),"Some college, no degree",Associate's degree,Bachelor's degree,Graduate or professional degree,High school graduate or higher,Bachelor's degree or higher,Population 25 to 34 years,High school graduate or higher,Bachelor's degree or higher,Population 35 to 44 years,High school graduate or higher,Bachelor's degree or higher,Population 45 to 64 years,High school graduate or higher,Bachelor's degree or higher,Population 65 years and over,High school graduate or higher,Bachelor's degree or higher,Population 25 years and over MEDIAN EARNINGS,Less than high school graduate MEDIAN EARNINGS,High school graduate (includes equivalency) MEDIAN EARNINGS,Some college or associate's degree MEDIAN EARNINGS,Bachelor's degree MEDIAN EARNINGS MEDIAN EARNINGS,Graduate or professional degree MEDIAN EARNINGS
Alabama,"479,855","51,796","182,028","194,385","51,646","3,498,967","121,630","258,272","1,052,554","733,923","321,748","616,025","394,815","3,119,065","1,010,840","644,517","597,617","201,926","649,252","581,414","211,253","1,273,079","1,123,198","358,913","932,119","816,836","238,748","45,781","29,479","36,615","41,938","60,156","70,682"
Alaska,"65,148","8,523","33,859","19,964","2,802","493,892","11,376","22,085","143,607","115,592","42,025","99,091","60,116","460,431","159,207","111,850","103,350","31,042","110,131","104,675","41,692","168,913","158,248","54,119","102,998","94,158","32,354","53,103","35,109","43,086","49,114","67,221","86,402"
Arizona,"701,011","97,858","258,209","265,769","79,175","5,150,254","238,234","308,931","1,202,651","1,203,684","470,638","1,051,136","674,980","4,603,089","1,726,116","1,026,988","946,943","345,051","942,328","837,677","335,889","1,743,207","1,525,318","583,754","1,437,731","1,293,151","461,422","50,828","32,052","40,648","46,493","66,683","81,942"
Arkansas,"288,490","37,090","111,568","108,757","31,075","2,078,254","80,265","143,133","710,230","423,270","177,336","345,836","198,184","1,854,856","544,020","393,194","364,470","111,726","399,179","356,673","121,529","734,975","647,240","185,982","550,906","486,473","124,783","42,469","30,687","36,012","40,728","56,314","70,510"
California,"3,558,215","347,978","1,286,395","1,459,490","464,352","26,969,649","2,341,160","1,753,074","5,505,182","5,142,978","2,116,930","6,137,666","3,972,659","22,875,415","10,110,325","5,670,629","5,207,446","2,364,900","5,460,310","4,724,405","2,260,882","9,526,791","7,739,016","3,352,384","6,311,919","5,204,548","2,132,159","54,363","31,490","40,803","49,673","78,278","104,353"
Colorado,"531,807","57,182","190,419","205,447","78,759","4,135,123","120,666","157,178","798,897","797,481","340,844","1,170,106","749,951","3,857,279","1,920,057","928,003","884,480","455,165","874,611","809,352","429,519","1,387,967","1,276,836","627,956","944,542","886,611","407,417","59,076","39,959","42,541","49,707","73,072","86,024"
Connecticut,"334,630","30,815","114,336","124,122","65,357","2,559,922","94,357","116,657","653,609","397,786","199,198","591,246","507,069","2,348,908","1,098,315","450,467","425,577","216,716","469,414","430,214","226,932","950,010","876,025","406,195","690,031","617,092","248,472","60,473","32,471","42,120","49,709","75,975","91,993"
Delaware,"88,538","10,256","34,578","34,083","9,621","731,427","23,995","39,022","208,160","133,387","60,161","153,565","113,137","668,410","266,702","124,961","114,380","47,373","128,689","116,130","53,032","257,820","236,701","90,947","219,957","201,199","75,350","51,089","31,982","38,872","46,422","64,157","84,475"
District of Columbia,"69,527","5,926","14,978","26,539","22,084","482,919","15,862","19,161","63,274","53,895","12,270","129,951","188,506","447,896","318,457","144,710","138,540","112,802","114,104","110,604","87,501","135,109","120,432","73,965","88,996","78,320","44,189","93,761","36,900","40,715","56,964","95,628","122,926"
Florida,"1,809,840","225,627","635,050","735,628","213,535","16,421,870","677,352","924,156","4,404,157","3,028,642","1,653,669","3,550,180","2,183,714","14,820,362","5,733,894","2,814,633","2,599,491","1,020,157","2,901,598","2,611,212","1,115,185","5,787,857","5,241,559","2,013,321","4,917,782","4,368,100","1,585,231","46,301","30,360","36,384","42,629","58,009","76,981"
