Variable Name,Variable,Length,Format,Table ID,Variable Label,Variable Description
MUNR_20to64,Number,8,Percent,Male,Unemployment Unemployment rate of the male S2301 Rate (20-64) population aged 20 to 64 years old.,
FLFPR_20to64,Number,8,Percent,Female,Labor Force Labor force participation rate of the S2301 Participation Rate (20- female population aged 20 to 64 64) years old.,
FLFPR_20to64_Und,Number,8,Percent,Female,Labor Force Labor force participation rate of the S2301 er6 Participation Rate (20- female population aged 20 to 64 64)with Children years old who have children under 6 Under 6 only years old.,
FLFPR_20to64_6to1,Number,8,Percent,Female,Labor Force Labor force participation rate of the S2301 7 Participation Rate (20- female population aged 20 to 64 64)with Children 6-17 years old who have children between only 6 and 17 years old.,
FLFPR_20to64_Und,Number,8,Percent,Female,Labor Force Labor force participation rate of the S2301 er6_6to17 Participation Rate (20- female population aged 20 to 64 64)with Children years old who have children under 6 Under 6 and 6-17 years old and between 6 and 17 years old.,
MLFPR_20to64,Number,8,Percent,Male,Labor Force Labor force participation rate of the S2301 Participation Rate (20- male population aged 20 to 64 years 64) old.,
PR_F,Number,8,Percent,Poverty,Rate (All Poverty rate for families. DP03 Families),
PR_P,Number,8,Percent,Poverty,Rate (All Poverty rate for individuals. DP03 People),
MHI,Number,8,Dollar,Median,Household Median household income. DP03 Income,
ME,Number,8,Dollar,Median,Earnings Median earnings for the population B20002 aged 16 years old or older. FME Dollar Female Median Median earnings for females for the B20002 Number 8 Earnings population aged 16 years old or older.,
MME,Number,8,Dollar,Male,Median Earnings Median earnings for males for the B20002 population aged 16 years old or older.,
MHI_2018,Number,8,Dollar,Median,Household Median household income expressed N/A Income - 2018 in 2018 dollars. Adjusted Type Length Format Table ID (if applicable)1,
ME_2018,Number,8,Dollar,Median,Earnings - Median earnings expressed in 2018 N/A 2018 Adjusted dollars for the population aged 16 years old or older.,
FME_2018,Number,8,Dollar,Female,Median Median earnings for females N/A Earnings - 2018 expressed in 2018 dollars for the Adjusted population aged 16 years old or older.,
MME_2018,Number,8,Dollar,Male,Median Earnings Median earnings for males expressed N/A -2018 Adjusted in 2018 dollars for the population aged 16 years old or older.,
TotalPop,Number,8,Number,Total,Population Count of the total population. DP05,
OneRace,Number,8,Percent,One,Race Percent of population that identifies DP05 as being one race.,
OneRace_W,Number,8,Percent,One,Race: White Percent of population that identifies DP05 Alone as being one race and being only White or Caucasian.,
OneRace_B,Number,8,Percent,One,Race: Black or Percent of population that identifies DP05 African American as being one race and being only Alone Black or African American.,
OneRace_I,Number,8,Percent,One,Race: American Percent of population that identifies DP05 Indian and Alaska as being one race and being only Native Alone American Indian or Alaska Native.,
OneRace_A,Number,8,Percent,One,Race: Asian Percent of population that identifies DP05 Alone as being one race and being only Asian.,
OneRace_H,Number,8,Percent,One,Race: Native Percent of population that identifies DP05 Hawaiian or Pacific as being one race and being only Islander Alone Native Hawaiian or Pacific Islander.,
OneRace_Other,Number,8,Percent,One,Race: Some Percent of population that identifies DP05 Other Race Alone as being one race and being a different race not previously mentioned.,
TwoRaces,Number,8,Percent,Two,or More Races Percent of population that identifies DP05 as being two or more races.,
Hispanic,Number,8,Percent,Hispanic,or Latino of Percent of population that identifies DP05 Any Race as being Hispanic or Latino regardless of race. Type Length Format Table ID (if applicable)1,
Households,Number,8,Number,Number,of Number of households. S1101 Households,
H_Under6_BothWork,Number,8,Number,Households,with Number of households with children B23008 Children Under 6 with under 6 years old with two parents Two Working Parents that are both working.,
H_Under6_FWork,Number,8,Number,Households,with Number of households with children B23008 Children Under 6 with under 6 years old with two parents Only Father Working with only the father working.,
H_Under6_MWork,Number,8,Number,Households,with Number of households with children B23008 Children Under 6 With under 6 years old with two parents Only Mother Working with only the mother working.,
H_Under6_SingleM,Number,Households,with,Number,of households with children B23008 Number 8 Children Under 6 with under 6 years old with a single Single Mother mother.,
H_6to17_BothWork,Number,8,Number,Households,with Number of households with children B23008 Children 6-17 with between 6 and 17 years old with two Two Working Parents parents that are both working.,
H_6to17_Fwork,Number,8,Number,Households,with Number of households with children B23008 Children 6-17 with between 6 and 17 years old with two Only Father Working parents with only the father working.,
H_6to17_Mwork,Number,8,Number,Households,with Number of households with children B23008 Children 6-17 with between 6 and 17 years old with two Only Mother Working parents with only the mother working.,
H_6to17_SingleM,Number,8,Number,Households,with Number of households with children B23008 Children 6-17 with between 6 and 17 years old with a Single Mother single mother.,
EMP_M,Number,8,Percent,Civilian,"Employed Percent of civilians employed in S2401 Pop. (16+) management, business, science, and Management, arts occupations aged 16 years old or Business, Science, older in the county. and Arts Occupations",
MEMP_M,Number,8,Percent,Male,"Civilian Percent of male civilians employed in S2401 Employed Pop. (16+) management, business, science, and Management, arts occupations aged 16 years old or Business, Science, older in the county. and Arts Occupations Type Length Format Table ID (if applicable)1",
